set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,18,0.943,0.731,8,0.285,0.246,0.991,  4.34, 4.24,0.000, 15,-21,-27,
,,0.147,0.292,48,0.016,0.371,0.991,  4.19, 4.10,0.000,-33,-81, 12,
,,0.010,0.053,104,0.001,0.552,0.991,  4.03, 3.95,0.000, 42,-75, -3,
,,,,,,0.681,0.991,  3.92, 3.84,0.000, 51,-54, -9,
,,,,,,0.863,0.991,  3.74, 3.67,0.000, 57,-66, -3,
,,0.450,0.408,27,0.059,0.591,0.991,  3.99, 3.91,0.000,-42,-54,-30,
,,0.406,0.408,29,0.052,0.668,0.991,  3.93, 3.85,0.000,-54,  0,-21,
,,0.280,0.359,36,0.033,0.693,0.991,  3.91, 3.83,0.000,-21,-72,-27,
,,,,,,0.908,0.991,  3.67, 3.61,0.000, -6,-69,-21,
,,0.982,0.731,5,0.399,0.772,0.991,  3.83, 3.76,0.000, -9, 60,-21,
,,0.155,0.292,47,0.017,0.800,0.991,  3.81, 3.74,0.000, 33,-57,-24,
,,,,,,0.984,0.991,  3.48, 3.43,0.000, 30,-69,-21,
,,0.192,0.292,43,0.021,0.824,0.991,  3.78, 3.71,0.000,-24,-51,-24,
,,,,,,0.964,0.991,  3.56, 3.50,0.000, -9,-51,-27,
,,0.450,0.408,27,0.059,0.856,0.991,  3.74, 3.68,0.000,-42, 21,-18,
,,,,,,0.975,0.991,  3.52, 3.46,0.000,-48, 12,-18,
,,0.925,0.731,9,0.257,0.930,0.991,  3.64, 3.58,0.000,-24, 27,-18,
,,0.972,0.731,6,0.355,0.943,0.991,  3.61, 3.55,0.000,-36, 51,  9,
,,0.775,0.731,15,0.148,0.954,0.991,  3.58, 3.53,0.000, 18,-72,-54,
,,,,,,0.999,0.991,  3.27, 3.22,0.001,  9,-75,-51,
,,0.972,0.731,6,0.355,0.979,0.991,  3.50, 3.45,0.000,-21,-39,-36,
,,0.959,0.731,7,0.317,0.981,0.991,  3.49, 3.44,0.000,-33,-48,-54,
,,0.925,0.731,9,0.257,0.984,0.991,  3.48, 3.42,0.000,-39,  3,-30,
,,0.904,0.731,10,0.233,0.995,0.991,  3.39, 3.34,0.000,-48,-69, -6,
,,,,,,0.996,0.991,  3.37, 3.32,0.000,-51,-66,  3,
,,0.982,0.731,5,0.399,0.997,0.991,  3.34, 3.29,0.000, 54,-27, -3,
