set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.047,9,0.990,0.537,5,0.211,0.324,0.382,  4.48, 4.37,0.000,-45,  3,-48,
,,0.631,0.537,14,0.045,0.490,0.382,  4.32, 4.22,0.000, 42,  0,-42,
,,0.741,0.537,12,0.061,0.815,0.639,  4.05, 3.97,0.000,-24,  9,-30,
,,0.889,0.537,9,0.100,0.944,0.673,  3.88, 3.81,0.000, -9,-39, 57,
,,0.977,0.537,6,0.172,0.948,0.673,  3.87, 3.80,0.000, 69,-18,-18,
,,0.927,0.537,8,0.119,0.991,0.697,  3.71, 3.65,0.000,-30,-33, 51,
,,0.977,0.537,6,0.172,0.999,0.798,  3.60, 3.54,0.000,  3, 27, 15,
,,0.957,0.537,7,0.142,1.000,0.798,  3.47, 3.42,0.000, 51,-45, 48,
,,0.990,0.537,5,0.211,1.000,0.798,  3.42, 3.37,0.000,-21,-18, 42,
