set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,48,0.000,0.000,612,0.000,0.000,0.000,  9.64,  Inf,0.000,-48, 18, 18,
,,,,,,0.000,0.000,  9.28,  Inf,0.000,-30, 24,  0,
,,,,,,0.000,0.000,  8.72,  Inf,0.000,-51, 12, -3,
,,0.000,0.000,845,0.000,0.000,0.000,  8.01, 7.47,0.000,  0, 39, 39,
,,,,,,0.000,0.000,  7.97, 7.43,0.000,  0, 18, 45,
,,,,,,0.000,0.000,  7.26, 6.84,0.000,  0, 15, 57,
,,0.000,0.000,249,0.000,0.000,0.000,  7.54, 7.08,0.000,-45,-60, 15,
,,,,,,0.225,0.037,  4.59, 4.48,0.000,-36,-75, 24,
,,,,,,0.556,0.099,  4.27, 4.17,0.000,-54,-63, 33,
,,0.001,0.000,81,0.000,0.000,0.000,  7.50, 7.04,0.000,-57,-42, -6,
,,,,,,0.969,0.280,  3.82, 3.75,0.000,-66,-36,-18,
,,0.000,0.000,348,0.000,0.000,0.000,  7.13, 6.73,0.000, 39, 21, -6,
,,,,,,0.000,0.000,  6.79, 6.44,0.000, 30, 24, -3,
,,,,,,0.001,0.000,  5.85, 5.62,0.000, 51, 15, -3,
,,0.000,0.000,142,0.000,0.000,0.000,  7.07, 6.69,0.000,-45, 39,  0,
,,,,,,0.192,0.033,  4.64, 4.52,0.000,-36, 51, -3,
,,0.000,0.000,223,0.000,0.000,0.000,  6.02, 5.77,0.000,-15, -3, 18,
,,,,,,0.000,0.000,  6.01, 5.76,0.000,-15,  9,  6,
,,,,,,0.095,0.017,  4.83, 4.69,0.000,  9,  6, 12,
,,0.000,0.000,198,0.000,0.002,0.001,  5.69, 5.48,0.000,-45,  0, 45,
,,,,,,0.030,0.007,  5.08, 4.93,0.000,-51,  3, 36,
,,,,,,0.095,0.017,  4.83, 4.69,0.000,-51, 12, 39,
,,0.003,0.001,69,0.000,0.004,0.002,  5.47, 5.28,0.000,  3,-39,-15,
,,0.000,0.000,110,0.000,0.006,0.002,  5.43, 5.24,0.000,  6,-96, 15,
,,,,,,0.009,0.003,  5.33, 5.15,0.000,  6,-87, 39,
,,,,,,0.489,0.084,  4.32, 4.23,0.000,  6,-93, 27,
,,0.005,0.001,62,0.000,0.006,0.002,  5.42, 5.23,0.000,-33,-54,-54,
,,,,,,0.252,0.042,  4.56, 4.44,0.000,-27,-66,-57,
,,,,,,0.909,0.218,  3.94, 3.86,0.000,-15,-69,-54,
,,0.741,0.182,12,0.061,0.008,0.003,  5.35, 5.17,0.000, 27,-63,-60,
,,0.008,0.002,57,0.000,0.011,0.003,  5.30, 5.13,0.000,-24, 42, 33,
