set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,9,0.000,0.000,130,0.000,0.000,0.000,  9.18,  Inf,0.000, 36,-69, 45,
,,,,,,0.000,0.000,  8.17, 7.60,0.000, 42,-54, 54,
,,,,,,0.009,0.017,  4.52, 4.41,0.000, 42,-63, 36,
,,0.000,0.000,133,0.000,0.000,0.000,  8.28, 7.69,0.000, 48, 21, 33,
,,,,,,0.000,0.000,  5.81, 5.59,0.000, 42, 15, 45,
,,0.000,0.001,76,0.000,0.000,0.000,  6.32, 6.04,0.000, 24, 24, 54,
,,0.030,0.104,18,0.041,0.000,0.000,  6.31, 6.03,0.000, 30, 54,  9,
,,0.034,0.104,17,0.046,0.000,0.000,  5.77, 5.55,0.000, -9,-78,-36,
,,0.063,0.149,12,0.087,0.000,0.001,  5.33, 5.15,0.000, 36, 51,  0,
,,,,,,0.068,0.105,  3.93, 3.85,0.000, 42, 48,-12,
,,0.038,0.104,16,0.052,0.000,0.001,  5.31, 5.13,0.000, 12,  0, 15,
,,0.174,0.341,5,0.256,0.011,0.021,  4.45, 4.34,0.000,-45,-60,-54,
,,0.095,0.200,9,0.133,0.022,0.036,  4.26, 4.17,0.000,-30,-63,-39,
