set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,7,0.000,0.000,135,0.000,0.000,0.000,  9.99,  Inf,0.000,-51,-60, 12,
,,,,,,0.082,0.139,  3.97, 3.89,0.000,-57,-54, 27,
,,0.009,0.040,33,0.008,0.000,0.001,  5.66, 5.45,0.000, 54,-24, -9,
,,,,,,0.027,0.059,  4.29, 4.20,0.000, 57,-36, -3,
,,,,,,0.522,0.722,  3.27, 3.22,0.001, 45,-36,  0,
,,0.088,0.210,12,0.085,0.000,0.002,  5.40, 5.21,0.000,-54,-39, -6,
,,0.047,0.169,17,0.045,0.002,0.009,  4.98, 4.83,0.000,-54, 15, 12,
,,0.077,0.210,13,0.075,0.003,0.010,  4.91, 4.77,0.000, 54, 15, 27,
,,0.006,0.040,36,0.006,0.004,0.014,  4.77, 4.64,0.000, 48,-57, 24,
,,,,,,0.007,0.019,  4.65, 4.53,0.000, 57,-48, 27,
,,,,,,0.090,0.141,  3.94, 3.86,0.000, 51,-51, 18,
,,0.100,0.210,11,0.098,0.050,0.101,  4.11, 4.03,0.000,-33,-57, 57,
