"";"Value";"Std.Error";"DF";"t-value";"p-value"
"(Intercept)";0,180594902865994;0,00392091356391718;767;46,0593940473329;4,77790719527181e-223
"stimulusangry";0,00469318836971758;0,00173692117334073;767;2,70201575163649;0,00704433748421
"stimulushappy";0,0045032279473643;0,00173546513831074;767;2,59482478095044;0,00964470584113934
"conditionSleepDeprived";-0,00266416684261189;0,0027046350792189;767;-0,985037450368833;0,32491629729025
"stimulusangry:conditionSleepDeprived";0,00264712667354214;0,0034741876484925;767;0,761941190681155;0,446329330489405
"stimulushappy:conditionSleepDeprived";0,00271939702051666;0,00347116239166777;767;0,783425467804198;0,433619145197569
