"";"lower";"est.";"upper"
"(Intercept)";0,172897907580088;0,180594902865994;0,1882918981519
"stimulusangry";0,00128350492088433;0,00469318836971758;0,00810287181855082
"stimulushappy";0,00109640278514697;0,0045032279473643;0,00791005310958163
"conditionSleepDeprived";-0,00797353240639814;-0,00266416684261189;0,00264519872117436
"stimulusangry:conditionSleepDeprived";-0,00417291807288804;0,00264712667354214;0,00946717141997233
"stimulushappy:conditionSleepDeprived";-0,00409470896007769;0,00271939702051666;0,00953350300111102
