set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,39,0.000,0.000,131,0.000,0.000,0.001,  6.34, 6.05,0.000,-39,-15, 39,
,,,,,,0.001,0.002,  5.78, 5.56,0.000,-42, -9, 33,
,,,,,,0.428,0.114,  4.33, 4.23,0.000,-45, -6, 51,
,,0.000,0.000,381,0.000,0.000,0.001,  6.16, 5.90,0.000, 15,-87, 27,
,,,,,,0.008,0.010,  5.34, 5.16,0.000, -3,-78,  9,
,,,,,,0.011,0.011,  5.28, 5.10,0.000,  6,-81, 18,
,,0.010,0.006,60,0.001,0.000,0.001,  6.09, 5.84,0.000,  9,-51, 45,
,,,,,,0.991,0.422,  3.67, 3.61,0.000, 15,-42, 36,
,,0.000,0.000,213,0.000,0.001,0.002,  5.85, 5.62,0.000,-48,-69, 39,
,,,,,,0.077,0.035,  4.85, 4.72,0.000,-39,-42, 24,
,,,,,,0.091,0.036,  4.81, 4.68,0.000,-57,-45, 42,
,,0.001,0.001,95,0.000,0.004,0.006,  5.47, 5.28,0.000, 15, -6, 21,
,,,,,,0.629,0.164,  4.17, 4.08,0.000, 15,  9, 18,
,,0.000,0.000,177,0.000,0.013,0.011,  5.25, 5.08,0.000,-48,-12,  9,
,,,,,,0.055,0.030,  4.94, 4.79,0.000,-63, -3,  3,
,,,,,,0.201,0.064,  4.59, 4.47,0.000,-45,  0, 12,
,,0.054,0.023,41,0.003,0.032,0.023,  5.05, 4.90,0.000,  0,  3, 66,
,,0.205,0.072,27,0.012,0.077,0.035,  4.85, 4.72,0.000, 54,-42, 51,
,,0.086,0.034,36,0.005,0.092,0.036,  4.81, 4.68,0.000,-12,-45, 39,
,,0.901,0.308,9,0.118,0.188,0.064,  4.61, 4.49,0.000, 21,-54, 27,
,,0.275,0.080,24,0.016,0.196,0.064,  4.59, 4.48,0.000, 51,-48,  6,
,,,,,,1.000,0.573,  3.48, 3.43,0.000, 48,-36, 12,
,,0.671,0.231,14,0.057,0.211,0.065,  4.57, 4.46,0.000,-27,-18,-18,
,,0.978,0.387,6,0.196,0.253,0.077,  4.51, 4.40,0.000, 66,  6,  0,
,,0.024,0.013,50,0.001,0.392,0.110,  4.37, 4.27,0.000, 45, -9, 39,
,,,,,,0.602,0.159,  4.19, 4.10,0.000, 39,-15, 33,
,,,,,,0.953,0.323,  3.81, 3.75,0.000, 51,  0, 48,
,,0.960,0.343,7,0.164,0.400,0.110,  4.36, 4.26,0.000,-21,-27, 18,
,,0.095,0.034,35,0.005,0.489,0.132,  4.28, 4.19,0.000, -6, 51, -3,
,,,,,,1.000,0.727,  3.32, 3.27,0.001,  3, 45,-15,
,,0.960,0.343,7,0.164,0.541,0.144,  4.24, 4.15,0.000, 21,  0,-18,
,,0.049,0.023,42,0.003,0.608,0.159,  4.18, 4.09,0.000, 21, 18,  3,
,,,,,,0.995,0.450,  3.63, 3.57,0.000, 24,  9,  6,
,,,,,,0.999,0.553,  3.51, 3.46,0.000, 30,  9,  0,
,,0.861,0.308,10,0.101,0.695,0.187,  4.11, 4.03,0.000, -3,-33, 75,
,,0.226,0.074,26,0.013,0.821,0.230,  4.00, 3.92,0.000,-36,-81,  9,
,,0.934,0.338,8,0.139,0.835,0.231,  3.99, 3.91,0.000, -3,-57, 72,
,,,,,,1.000,0.587,  3.46, 3.41,0.000,  0,-63, 66,
,,0.250,0.077,25,0.015,0.841,0.231,  3.98, 3.90,0.000, 45,-69, 45,
,,,,,,0.989,0.413,  3.68, 3.62,0.000, 39,-75, 51,
,,0.861,0.308,10,0.101,0.881,0.263,  3.93, 3.86,0.000,  0, -9,  6,
,,0.901,0.308,9,0.118,0.931,0.304,  3.86, 3.79,0.000, 42, 24,-27,
,,0.817,0.308,11,0.087,0.932,0.304,  3.86, 3.79,0.000,-30,-45, 48,
,,0.901,0.308,9,0.118,0.933,0.304,  3.86, 3.78,0.000,-18, 30, 42,
,,0.960,0.343,7,0.164,0.950,0.323,  3.82, 3.75,0.000, 15,-63, 42,
,,0.817,0.308,11,0.087,0.956,0.323,  3.81, 3.74,0.000, 12, 45, 45,
,,0.671,0.231,14,0.057,0.968,0.350,  3.78, 3.71,0.000, 39, 33,-12,
,,,,,,0.991,0.422,  3.67, 3.61,0.000, 39, 36, -3,
,,0.861,0.308,10,0.101,0.986,0.408,  3.70, 3.64,0.000, 15, 18,-12,
,,0.990,0.442,5,0.236,0.987,0.408,  3.70, 3.64,0.000,-15,-54, -6,
,,0.934,0.338,8,0.139,0.989,0.413,  3.68, 3.62,0.000,-21, 12,  6,
,,0.621,0.227,15,0.050,0.994,0.441,  3.64, 3.58,0.000,-21,  6, -6,
,,0.990,0.442,5,0.236,0.994,0.441,  3.64, 3.58,0.000, 36,-30, 24,
,,0.960,0.343,7,0.164,0.999,0.527,  3.55, 3.50,0.000,-36, 36,  3,
,,0.901,0.308,9,0.118,0.999,0.527,  3.55, 3.49,0.000,  3, 60, 27,
,,0.960,0.343,7,0.164,1.000,0.569,  3.50, 3.44,0.000, 48,-39, 39,
,,0.978,0.387,6,0.196,1.000,0.570,  3.49, 3.43,0.000,-42,-69,-57,
,,0.901,0.308,9,0.118,1.000,0.631,  3.42, 3.37,0.000,-36,  3, 45,
