set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,46,0.000,0.000,1372,0.000,0.000,0.000,  9.21,  Inf,0.000,-30, 42, 33,
,,,,,,0.000,0.000,  8.91,  Inf,0.000,-30, 42, 24,
,,,,,,0.000,0.000,  8.58,  Inf,0.000,-30, 54, 15,
,,0.000,0.000,560,0.000,0.000,0.000,  7.64, 7.16,0.000,  0,-57, 39,
,,,,,,0.000,0.000,  7.19, 6.78,0.000,  3,-48, 51,
,,,,,,0.001,0.001,  5.81, 5.58,0.000,  0,-27, 45,
,,0.000,0.000,223,0.000,0.000,0.000,  7.13, 6.73,0.000, 24, 39, 24,
,,,,,,0.000,0.000,  6.24, 5.97,0.000, 30, 42, 30,
,,,,,,0.292,0.042,  4.51, 4.40,0.000, 39, 30, 39,
,,0.017,0.005,49,0.001,0.000,0.000,  6.65, 6.32,0.000, 39, 42,-18,
,,0.002,0.001,74,0.000,0.000,0.000,  6.31, 6.03,0.000,-48,-60, 51,
,,,,,,0.996,0.389,  3.66, 3.60,0.000,-63,-48, 33,
,,0.000,0.000,134,0.000,0.000,0.000,  6.22, 5.95,0.000, -9,-24, 21,
,,,,,,0.030,0.007,  5.08, 4.93,0.000,-27,-18, 15,
,,,,,,0.572,0.083,  4.26, 4.16,0.000,-12,-30, 12,
,,0.017,0.005,49,0.001,0.000,0.000,  5.97, 5.73,0.000, 51, 39, 18,
,,,,,,0.318,0.044,  4.48, 4.37,0.000, 57, 39, -3,
,,,,,,0.975,0.283,  3.80, 3.73,0.000, 54, 42,  6,
,,0.004,0.002,65,0.000,0.001,0.001,  5.70, 5.48,0.000, 24,-15,-24,
,,0.001,0.001,79,0.000,0.003,0.002,  5.53, 5.33,0.000, 33,-78,-39,
,,0.057,0.015,37,0.003,0.004,0.002,  5.51, 5.32,0.000,-45, 12, -9,
,,,,,,0.973,0.282,  3.81, 3.74,0.000,-30,  6,-18,
,,0.006,0.002,61,0.000,0.006,0.002,  5.40, 5.22,0.000,-18, 21,  6,
,,,,,,0.284,0.042,  4.52, 4.41,0.000, -9, 18,  9,
,,0.254,0.044,23,0.013,0.017,0.005,  5.19, 5.03,0.000,-27,-84, 27,
,,0.205,0.036,25,0.010,0.030,0.007,  5.08, 4.92,0.000, 36,-60,-36,
,,0.034,0.010,42,0.002,0.044,0.010,  5.00, 4.85,0.000,-36, 42,-18,
,,0.001,0.001,81,0.000,0.076,0.015,  4.88, 4.74,0.000,-54,-63,-24,
,,,,,,0.209,0.034,  4.62, 4.50,0.000,-39,-90,-12,
,,,,,,0.222,0.034,  4.60, 4.48,0.000, -9,-96,-24,
,,0.205,0.036,25,0.010,0.121,0.021,  4.77, 4.64,0.000,-36,  9,  9,
,,0.057,0.015,37,0.003,0.122,0.021,  4.77, 4.64,0.000, 18,-54,  0,
,,0.070,0.017,35,0.003,0.157,0.027,  4.70, 4.58,0.000, 39,-78, 27,
,,0.148,0.029,28,0.007,0.173,0.029,  4.67, 4.55,0.000, 12,-75, 27,
,,0.086,0.020,33,0.004,0.178,0.029,  4.66, 4.54,0.000, -9,-18,-30,
,,,,,,0.966,0.266,  3.83, 3.76,0.000,-18,-15,-27,
,,0.888,0.212,9,0.099,0.219,0.034,  4.60, 4.49,0.000,-33,-57,-39,
,,0.096,0.021,32,0.005,0.237,0.035,  4.58, 4.46,0.000, -9, 54,  9,
,,0.133,0.028,29,0.006,0.257,0.038,  4.55, 4.44,0.000, 51,-48,  9,
,,0.792,0.156,11,0.071,0.295,0.042,  4.51, 4.40,0.000, 42,  9,-45,
,,0.792,0.156,11,0.071,0.317,0.044,  4.48, 4.38,0.000, 27,-72, 60,
,,0.792,0.156,11,0.071,0.368,0.051,  4.43, 4.33,0.000, -9,-81, 33,
,,0.684,0.138,13,0.052,0.390,0.054,  4.41, 4.31,0.000,-51,-27,-24,
,,0.476,0.086,17,0.029,0.397,0.055,  4.41, 4.30,0.000, 18, 18, 12,
,,0.739,0.156,12,0.061,0.476,0.066,  4.34, 4.24,0.000,-57,-39,  6,
,,0.388,0.071,19,0.022,0.485,0.067,  4.33, 4.23,0.000, 39, 18,-12,
,,0.205,0.036,25,0.010,0.628,0.095,  4.21, 4.12,0.000, 63, 18, 12,
,,0.430,0.078,18,0.025,0.647,0.098,  4.20, 4.11,0.000, 30,-33, 54,
,,0.575,0.110,15,0.039,0.689,0.109,  4.16, 4.07,0.000, 36,-18, 12,
,,0.956,0.265,7,0.141,0.742,0.122,  4.12, 4.03,0.000, 18,-39,-48,
,,0.977,0.299,6,0.171,0.816,0.146,  4.05, 3.97,0.000, 48, -3,-48,
,,0.926,0.233,8,0.118,0.924,0.214,  3.92, 3.84,0.000, 15,-21,-33,
,,0.792,0.156,11,0.071,0.963,0.266,  3.84, 3.77,0.000,-30,-81,-39,
,,0.926,0.233,8,0.118,0.965,0.266,  3.83, 3.76,0.000, -9,-36,-60,
,,0.792,0.156,11,0.071,0.980,0.291,  3.78, 3.72,0.000, 21, 57, -3,
,,0.990,0.351,5,0.209,0.994,0.368,  3.69, 3.63,0.000,  0, -6,-24,
,,0.684,0.138,13,0.052,0.997,0.393,  3.65, 3.59,0.000, 24,-27, 18,
,,,,,,0.999,0.471,  3.56, 3.50,0.000, 18,-21, 24,
,,0.977,0.299,6,0.171,0.998,0.410,  3.63, 3.57,0.000,  0, -9, 78,
,,0.956,0.265,7,0.141,0.998,0.420,  3.62, 3.56,0.000, 51, -9, 12,
,,0.990,0.351,5,0.209,1.000,0.515,  3.51, 3.45,0.000,-57,  9,  0,
,,0.926,0.233,8,0.118,1.000,0.525,  3.50, 3.44,0.000, 45,-63, 48,
,,,,,,1.000,0.568,  3.46, 3.40,0.000, 39,-78, 45,
,,,,,,1.000,0.807,  3.26, 3.22,0.001, 39,-72, 51,
,,0.977,0.299,6,0.171,1.000,0.580,  3.44, 3.39,0.000, 39,-12, 54,
