set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,11,0.000,0.000,67,0.000,0.000,0.000,  7.79, 7.28,0.000, -6, 36, 48,
,,,,,,0.002,0.103,  5.65, 5.45,0.000,  3, 45, 39,
,,,,,,0.008,0.271,  5.35, 5.17,0.000, -9, 45, 39,
,,0.000,0.000,33,0.000,0.000,0.000,  7.74, 7.25,0.000, 42,  6, 27,
,,0.000,0.000,22,0.000,0.000,0.000,  7.61, 7.13,0.000,-45, 39, -3,
,,0.001,0.023,6,0.011,0.000,0.001,  6.83, 6.48,0.000,-42, 48, 30,
,,0.000,0.002,14,0.000,0.000,0.004,  6.51, 6.20,0.000,-51,-21,-12,
,,0.000,0.008,9,0.003,0.000,0.011,  6.28, 6.00,0.000, -9, 48, 24,
,,0.000,0.004,11,0.001,0.000,0.023,  6.08, 5.83,0.000, 18,-57, 30,
,,0.000,0.010,8,0.004,0.001,0.058,  5.83, 5.61,0.000, 12, 42, 51,
,,0.000,0.003,12,0.001,0.001,0.067,  5.79, 5.56,0.000,-54,-42,-12,
,,0.000,0.010,8,0.004,0.005,0.233,  5.44, 5.25,0.000,  3, 57, -9,
,,0.001,0.035,5,0.018,0.006,0.243,  5.41, 5.23,0.000, 21,-27, 72,
