set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,14,0.000,0.000,35,0.000,0.000,0.000,  8.11, 7.54,0.000,-54, 36, 21,
,,,,,,0.000,0.003,  6.67, 6.34,0.000,-48, 42, 27,
,,,,,,0.001,0.038,  5.86, 5.63,0.000,-48, 48, 18,
,,0.000,0.000,39,0.000,0.000,0.000,  7.55, 7.09,0.000,-30,-75,-30,
,,,,,,0.002,0.103,  5.60, 5.40,0.000,-33,-72,-39,
,,0.000,0.000,44,0.000,0.000,0.000,  7.40, 6.96,0.000, 33,-66,-27,
,,,,,,0.000,0.005,  6.46, 6.16,0.000, 27,-75,-24,
,,0.000,0.000,46,0.000,0.000,0.003,  6.69, 6.36,0.000,  9, 18, 66,
,,0.002,0.053,5,0.030,0.000,0.005,  6.50, 6.19,0.000, 57, 42, -3,
,,0.002,0.053,5,0.030,0.000,0.005,  6.49, 6.18,0.000, 57, 36, 24,
,,,,,,0.004,0.168,  5.47, 5.28,0.000, 54, 42, 18,
,,0.001,0.038,7,0.012,0.000,0.007,  6.35, 6.07,0.000,-54,-30, 57,
,,0.001,0.043,6,0.019,0.000,0.011,  6.25, 5.98,0.000,-21,-69, 66,
,,0.000,0.029,8,0.008,0.000,0.026,  6.03, 5.78,0.000,-30, 24, 60,
,,0.000,0.000,33,0.000,0.000,0.026,  6.02, 5.77,0.000,  3, 54, 15,
,,,,,,0.006,0.198,  5.40, 5.22,0.000,  6, 45,  9,
,,0.000,0.001,17,0.000,0.000,0.026,  6.01, 5.76,0.000,-39, -6, 18,
,,0.002,0.053,5,0.030,0.002,0.091,  5.64, 5.43,0.000,-30,  6, 15,
,,0.001,0.043,6,0.019,0.004,0.161,  5.49, 5.30,0.000, -9, 39,  0,
,,,,,,0.006,0.198,  5.40, 5.22,0.000,-15, 45,  3,
,,0.001,0.043,6,0.019,0.008,0.245,  5.33, 5.16,0.000,  3, 51,  0,
