set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,61,0.001,0.001,101,0.000,0.000,0.000,  8.11, 7.54,0.000,-54, 36, 21,
,,,,,,0.000,0.000,  6.67, 6.34,0.000,-48, 42, 27,
,,,,,,0.001,0.001,  5.86, 5.63,0.000,-48, 48, 18,
,,0.000,0.000,192,0.000,0.000,0.000,  7.55, 7.09,0.000,-30,-75,-30,
,,,,,,0.002,0.001,  5.60, 5.40,0.000,-33,-72,-39,
,,,,,,0.025,0.008,  5.10, 4.95,0.000,-24,-78,-42,
,,0.000,0.000,132,0.000,0.000,0.000,  7.40, 6.96,0.000, 33,-66,-27,
,,,,,,0.000,0.000,  6.46, 6.16,0.000, 27,-75,-24,
,,0.000,0.000,175,0.000,0.000,0.000,  6.69, 6.36,0.000,  9, 18, 66,
,,0.049,0.025,44,0.003,0.000,0.000,  6.50, 6.19,0.000, 57, 42, -3,
,,,,,,0.000,0.000,  6.49, 6.18,0.000, 57, 36, 24,
,,,,,,0.004,0.002,  5.47, 5.28,0.000, 54, 42, 18,
,,0.000,0.000,105,0.000,0.000,0.000,  6.35, 6.07,0.000,-54,-30, 57,
,,,,,,0.016,0.005,  5.21, 5.04,0.000,-48,-36, 60,
,,,,,,0.407,0.075,  4.34, 4.24,0.000,-63,-24, 42,
,,0.228,0.073,27,0.014,0.000,0.000,  6.25, 5.98,0.000,-21,-69, 66,
,,,,,,0.001,0.001,  5.88, 5.65,0.000,-24,-75, 60,
,,0.509,0.151,18,0.038,0.000,0.000,  6.03, 5.78,0.000,-30, 24, 60,
,,0.000,0.000,355,0.000,0.000,0.000,  6.02, 5.77,0.000,  3, 54, 15,
,,,,,,0.004,0.002,  5.49, 5.30,0.000, -9, 39,  0,
,,,,,,0.006,0.003,  5.40, 5.22,0.000,  6, 45,  9,
,,0.000,0.000,139,0.000,0.000,0.000,  6.01, 5.76,0.000,-39, -6, 18,
,,,,,,0.002,0.001,  5.64, 5.43,0.000,-30,  6, 15,
,,,,,,0.040,0.011,  5.01, 4.86,0.000,-45,-21, 21,
,,0.871,0.320,10,0.111,0.000,0.000,  5.95, 5.71,0.000,-48, 27, 42,
,,0.002,0.001,85,0.000,0.001,0.001,  5.74, 5.52,0.000,-63,  0, 21,
,,,,,,0.005,0.002,  5.46, 5.27,0.000,-60, -3, 33,
,,,,,,0.416,0.075,  4.33, 4.23,0.000,-57, -9, 45,
,,0.189,0.062,29,0.011,0.008,0.003,  5.34, 5.16,0.000,-39,-48, 18,
,,,,,,0.061,0.016,  4.90, 4.76,0.000,-36,-39, 21,
,,,,,,1.000,0.804,  3.26, 3.22,0.001,-48,-45, 12,
,,0.083,0.033,38,0.005,0.013,0.005,  5.24, 5.07,0.000, 42,-51, 24,
,,0.691,0.226,14,0.064,0.043,0.012,  4.99, 4.85,0.000,-33, 36,-21,
,,0.429,0.134,20,0.030,0.068,0.018,  4.87, 4.73,0.000, 39, 18, 60,
,,,,,,1.000,0.596,  3.45, 3.39,0.000, 33, 24, 51,
,,0.091,0.033,37,0.005,0.085,0.021,  4.81, 4.68,0.000,-12,-21, 54,
,,,,,,0.578,0.106,  4.19, 4.10,0.000,-18,-27, 39,
,,,,,,0.979,0.338,  3.72, 3.65,0.000,-15,-18, 42,
,,0.076,0.033,39,0.004,0.095,0.023,  4.78, 4.65,0.000, 33, 15,-15,
,,0.830,0.301,11,0.096,0.112,0.027,  4.74, 4.61,0.000,-36,-75, 54,
,,,,,,0.338,0.063,  4.40, 4.30,0.000,-33,-81, 48,
,,,,,,0.957,0.295,  3.79, 3.72,0.000,-24,-84, 48,
,,0.300,0.097,24,0.019,0.122,0.029,  4.71, 4.59,0.000,-42, 30,  0,
,,0.785,0.269,12,0.083,0.138,0.031,  4.68, 4.56,0.000,-42,-57, 60,
,,,,,,0.250,0.050,  4.50, 4.39,0.000,-36,-57, 66,
,,0.041,0.023,46,0.002,0.142,0.031,  4.67, 4.55,0.000,  0,-51, 51,
,,,,,,0.202,0.042,  4.57, 4.45,0.000,  3,-57, 63,
,,0.058,0.027,42,0.003,0.162,0.035,  4.63, 4.51,0.000, 27, 33,-24,
,,,,,,0.190,0.040,  4.59, 4.47,0.000, 36, 45,-21,
,,0.739,0.250,13,0.073,0.224,0.047,  4.54, 4.42,0.000, 12, 24,  9,
,,0.018,0.011,56,0.001,0.230,0.047,  4.53, 4.42,0.000, -9,-63, 15,
,,,,,,0.343,0.063,  4.40, 4.30,0.000,-18,-54, 18,
