set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,11,0.000,0.000,49,0.000,0.000,0.000,  8.13, 7.57,0.000,-51,-21,-12,
,,,,,,0.000,0.008,  6.42, 6.12,0.000,-60,-21, -9,
,,0.000,0.001,22,0.000,0.000,0.000,  7.63, 7.15,0.000,-42, 48, 30,
,,,,,,0.000,0.001,  7.01, 6.63,0.000,-42, 42, 36,
,,,,,,0.000,0.013,  6.27, 5.99,0.000,-42, 54, 18,
,,0.000,0.000,35,0.000,0.000,0.002,  6.83, 6.48,0.000, 15,-60, 30,
,,0.000,0.029,8,0.008,0.000,0.006,  6.53, 6.22,0.000, 51,-78, 33,
,,0.000,0.000,24,0.000,0.000,0.013,  6.28, 6.00,0.000, 45,-12,-30,
,,0.000,0.014,11,0.003,0.000,0.020,  6.16, 5.90,0.000, 15, 39, 54,
,,0.000,0.002,17,0.000,0.001,0.067,  5.85, 5.62,0.000,-48, 42,  0,
,,,,,,0.002,0.149,  5.59, 5.39,0.000,-33, 36, -3,
,,0.002,0.086,5,0.029,0.001,0.110,  5.73, 5.51,0.000, 21,-24, 72,
,,0.000,0.029,8,0.008,0.001,0.117,  5.70, 5.48,0.000, -3, 54, -9,
,,0.002,0.086,5,0.029,0.002,0.123,  5.67, 5.46,0.000,-21,-54,  3,
,,0.000,0.017,10,0.004,0.002,0.149,  5.60, 5.39,0.000, -3, 36, 45,
