set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,39,0.000,0.000,877,0.000,0.000,0.000,  9.89,  Inf,0.000,-27, 45, 24,
,,,,,,0.000,0.000,  8.75,  Inf,0.000,-30, 30, 33,
,,,,,,0.000,0.000,  6.80, 6.45,0.000, -3, 24, 33,
,,0.000,0.000,508,0.000,0.000,0.000,  9.52,  Inf,0.000,  0,-57, 39,
,,,,,,0.000,0.000,  7.41, 6.97,0.000,  0,-48, 51,
,,,,,,0.006,0.003,  5.42, 5.23,0.000, -9,-69, 45,
,,0.000,0.000,407,0.000,0.000,0.000,  7.48, 7.03,0.000, 36, 39,-18,
,,,,,,0.000,0.000,  6.81, 6.46,0.000, 18, 21,-12,
,,,,,,0.000,0.000,  6.53, 6.22,0.000, 30, 33,-21,
,,0.000,0.000,110,0.000,0.000,0.000,  7.25, 6.84,0.000,-36, 33,-21,
,,,,,,0.017,0.006,  5.18, 5.02,0.000,-33, 48,-15,
,,,,,,0.059,0.012,  4.91, 4.77,0.000,-42, 42,-18,
,,0.000,0.000,466,0.000,0.002,0.001,  5.67, 5.46,0.000, 39,-15, 42,
,,,,,,0.007,0.003,  5.38, 5.20,0.000, 69,-21, 24,
,,,,,,0.012,0.005,  5.26, 5.09,0.000, 63,  3, 24,
,,0.016,0.005,57,0.001,0.002,0.001,  5.66, 5.45,0.000, 54,-57, 33,
,,,,,,0.308,0.047,  4.44, 4.33,0.000, 42,-51, 21,
,,0.000,0.000,132,0.000,0.002,0.002,  5.62, 5.41,0.000, 27,  3, 63,
,,,,,,0.052,0.011,  4.94, 4.80,0.000, 15,  9, 69,
,,,,,,0.773,0.148,  4.03, 3.95,0.000,  6, 12, 72,
,,0.000,0.000,133,0.000,0.003,0.002,  5.58, 5.38,0.000, 24, 42, 27,
,,,,,,0.026,0.007,  5.10, 4.94,0.000, 27, 51, 27,
,,,,,,0.979,0.320,  3.72, 3.66,0.000, 27, 48,  6,
,,0.508,0.115,18,0.038,0.006,0.003,  5.40, 5.22,0.000, 51, 42, 18,
,,0.000,0.000,194,0.000,0.011,0.005,  5.28, 5.10,0.000, -6,-87,-18,
,,,,,,0.012,0.005,  5.26, 5.09,0.000,-54,-69,-24,
,,,,,,0.013,0.005,  5.25, 5.08,0.000,-45,-75,-21,
,,0.000,0.000,112,0.000,0.022,0.006,  5.14, 4.98,0.000,-51,-57, 42,
,,,,,,0.041,0.010,  5.00, 4.85,0.000,-45,-60, 51,
,,,,,,0.282,0.044,  4.47, 4.36,0.000,-63,-48, 39,
,,0.551,0.115,17,0.043,0.051,0.011,  4.95, 4.81,0.000, 66, -3,-24,
,,,,,,0.687,0.121,  4.10, 4.02,0.000, 63,  6,-24,
,,0.130,0.031,33,0.008,0.073,0.014,  4.86, 4.72,0.000, -3, 57, 12,
,,0.358,0.079,22,0.024,0.104,0.018,  4.76, 4.63,0.000, 54, 42, -3,
,,0.143,0.032,32,0.008,0.114,0.019,  4.74, 4.61,0.000,  0,  6,  6,
,,0.021,0.005,54,0.001,0.136,0.023,  4.69, 4.56,0.000, -9,-27,  6,
,,,,,,0.981,0.321,  3.71, 3.65,0.000, -3,-33,  9,
,,0.551,0.115,17,0.043,0.146,0.024,  4.67, 4.54,0.000,-54, 12, -3,
,,0.013,0.004,60,0.001,0.154,0.025,  4.65, 4.53,0.000,-33,-51,-60,
,,,,,,1.000,0.910,  3.19, 3.14,0.001,-45,-48,-54,
,,0.466,0.107,19,0.034,0.187,0.030,  4.59, 4.48,0.000,-18, 15, 12,
,,,,,,1.000,0.570,  3.45, 3.39,0.000,-15, 21,  3,
,,0.207,0.043,28,0.012,0.271,0.043,  4.48, 4.37,0.000, 33,-81, 18,
,,,,,,1.000,0.626,  3.40, 3.35,0.000, 21,-84, 21,
,,0.017,0.005,56,0.001,0.354,0.054,  4.39, 4.29,0.000, 30, 30, 48,
,,,,,,0.988,0.343,  3.67, 3.61,0.000, 39, 30, 39,
,,0.001,0.000,90,0.000,0.478,0.075,  4.28, 4.18,0.000,-30,-84, 24,
,,,,,,0.678,0.121,  4.11, 4.03,0.000,-33,-87, 12,
,,,,,,0.722,0.130,  4.07, 3.99,0.000,-12,-87, 24,
,,0.596,0.115,16,0.049,0.493,0.077,  4.26, 4.17,0.000, 54,-60,  3,
,,0.690,0.139,14,0.063,0.548,0.089,  4.22, 4.13,0.000, 48, -3,-18,
,,0.596,0.115,16,0.049,0.688,0.121,  4.10, 4.02,0.000,  6,-30,  9,
,,0.075,0.019,39,0.004,0.777,0.148,  4.03, 3.94,0.000, -6, 18, -9,
,,,,,,0.935,0.234,  3.84, 3.77,0.000, -9,  9,-15,
,,0.907,0.272,9,0.128,0.879,0.205,  3.92, 3.84,0.000, 39,-69,-60,
,,0.979,0.382,6,0.208,0.895,0.210,  3.90, 3.82,0.000, -3, 39,  6,
,,0.643,0.126,15,0.056,0.895,0.210,  3.90, 3.82,0.000,-18,-78, 36,
,,0.596,0.115,16,0.049,0.898,0.210,  3.89, 3.82,0.000, 36,-75,-39,
,,,,,,1.000,0.943,  3.16, 3.12,0.001, 30,-81,-33,
