set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,11,0.001,0.002,59,0.001,0.000,0.000,  8.79,  Inf,0.000,  9,-54,  3,
,,,,,,0.000,0.000,  7.04, 6.66,0.000, 15,-60, 12,
,,,,,,0.175,0.178,  3.88, 3.81,0.000,  0,-63, 21,
,,0.000,0.000,332,0.000,0.000,0.000,  6.95, 6.58,0.000,  0,-60, 42,
,,,,,,0.000,0.000,  6.45, 6.15,0.000,  6,-51, 36,
,,,,,,0.000,0.000,  6.40, 6.11,0.000,  3,-51, 51,
,,0.056,0.096,18,0.034,0.000,0.000,  6.76, 6.42,0.000, -9,-63,  9,
,,0.000,0.000,123,0.000,0.000,0.000,  6.11, 5.85,0.000,  0, 54, -6,
,,,,,,0.000,0.001,  5.42, 5.23,0.000,  0, 63,  0,
,,,,,,0.004,0.006,  4.90, 4.76,0.000,  6, 42, -6,
,,0.001,0.002,62,0.000,0.000,0.000,  5.93, 5.70,0.000,-33,-78, 27,
,,0.138,0.193,11,0.087,0.000,0.001,  5.57, 5.37,0.000,-30,-42,-15,
,,0.071,0.108,16,0.043,0.001,0.003,  5.17, 5.01,0.000, 42,-72, 21,
,,0.000,0.001,78,0.000,0.002,0.003,  5.09, 4.93,0.000,-15, 60, 18,
,,,,,,0.003,0.004,  5.02, 4.87,0.000,-12, 42, 39,
,,,,,,0.003,0.004,  4.98, 4.84,0.000,-12, 54, 30,
,,0.028,0.055,24,0.016,0.006,0.007,  4.83, 4.70,0.000,-27, 18, 51,
,,,,,,0.566,0.546,  3.40, 3.35,0.000,-24,  6, 48,
,,0.159,0.202,10,0.101,0.011,0.012,  4.68, 4.55,0.000, 15, 36, 51,
,,0.245,0.298,7,0.164,0.279,0.263,  3.71, 3.65,0.000, 30,-36,-18,
