set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,7,0.000,0.001,30,0.000,0.000,0.000,  8.79,  Inf,0.000,  9,-54,  3,
,,,,,,0.000,0.000,  7.04, 6.66,0.000, 15,-60, 12,
,,0.000,0.000,178,0.000,0.000,0.000,  6.95, 6.58,0.000,  0,-60, 42,
,,,,,,0.000,0.000,  6.45, 6.15,0.000,  6,-51, 36,
,,,,,,0.000,0.000,  6.40, 6.11,0.000,  3,-51, 51,
,,0.002,0.086,6,0.046,0.000,0.000,  6.76, 6.42,0.000, -9,-63,  9,
,,0.000,0.001,24,0.000,0.000,0.001,  6.11, 5.85,0.000,  0, 54, -6,
,,,,,,0.000,0.017,  5.42, 5.23,0.000,  0, 63,  0,
,,0.000,0.001,24,0.000,0.000,0.002,  5.93, 5.70,0.000,-33,-78, 27,
,,0.002,0.072,7,0.033,0.002,0.062,  5.09, 4.93,0.000,-15, 60, 18,
,,0.000,0.012,14,0.005,0.003,0.076,  5.02, 4.87,0.000,-12, 42, 39,
,,,,,,0.003,0.078,  4.98, 4.84,0.000,-12, 54, 30,
