set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.379,5,0.545,0.419,23,0.077,0.677,0.696,  3.92, 3.85,0.000,-60,-18,-21,
,,0.599,0.419,21,0.090,0.734,0.696,  3.87, 3.80,0.000,-42,-27,-18,
,,0.307,0.419,34,0.036,0.793,0.696,  3.82, 3.75,0.000, 36, -9,-33,
,,,,,,0.910,0.851,  3.67, 3.61,0.000, 33,-12,-21,
,,0.856,0.643,12,0.190,0.988,0.906,  3.46, 3.41,0.000, 27,-75, 21,
,,0.904,0.643,10,0.230,0.992,0.906,  3.42, 3.37,0.000, 21,-75, 54,
