set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,7,0.161,0.308,8,0.177,0.000,0.003,  5.43, 5.24,0.000,-57,-33, 33,
,,0.027,0.247,24,0.027,0.002,0.014,  4.91, 4.77,0.000, 51,  9, 36,
,,,,,,0.075,0.135,  3.97, 3.89,0.000, 48,  6, 27,
,,,,,,0.080,0.135,  3.95, 3.87,0.000, 48,  9, 18,
,,0.069,0.308,15,0.072,0.020,0.079,  4.36, 4.26,0.000,-51,-51, 36,
,,0.185,0.308,7,0.206,0.030,0.079,  4.24, 4.15,0.000,-45, 33,  9,
,,0.142,0.308,9,0.154,0.032,0.079,  4.22, 4.13,0.000,-48,-63, -3,
,,0.110,0.308,11,0.118,0.086,0.135,  3.93, 3.85,0.000, 57,-21, 42,
,,0.245,0.363,5,0.283,0.166,0.219,  3.71, 3.65,0.000, 39,-51, 57,
