set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,6,0.212,0.518,6,0.240,0.006,0.044,  4.68, 4.56,0.000,-54,-39, -6,
,,0.125,0.518,10,0.134,0.007,0.044,  4.64, 4.52,0.000, 39,-36, 48,
,,0.024,0.273,25,0.025,0.045,0.199,  4.13, 4.04,0.000,-39,-39, 48,
,,,,,,0.066,0.223,  4.01, 3.93,0.000,-33,-36, 36,
,,0.245,0.518,5,0.283,0.177,0.507,  3.69, 3.63,0.000,-51,-57, 12,
,,0.245,0.518,5,0.283,0.207,0.507,  3.63, 3.57,0.000, 51,-18, -9,
,,0.245,0.518,5,0.283,0.285,0.565,  3.51, 3.46,0.000,-54,-63, 36,
,,,,,,0.405,0.618,  3.36, 3.32,0.000,-60,-63, 30,
