set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,8,0.001,0.058,10,0.021,0.000,0.000,  6.49, 6.19,0.000,-57,-33, 33,
,,0.000,0.029,15,0.006,0.000,0.003,  5.94, 5.70,0.000, 48,  6, 27,
,,,,,,0.002,0.049,  5.02, 4.87,0.000, 51, 12, 15,
,,,,,,0.009,0.197,  4.58, 4.46,0.000, 51,  9, 36,
,,0.000,0.029,14,0.008,0.000,0.006,  5.73, 5.51,0.000,-54,-51, 39,
,,0.005,0.121,5,0.088,0.000,0.025,  5.30, 5.13,0.000, 51,-30, 54,
,,0.000,0.029,18,0.003,0.000,0.025,  5.26, 5.09,0.000,-45, 33, 12,
,,,,,,0.003,0.067,  4.89, 4.75,0.000,-36, 30, 12,
,,0.005,0.121,5,0.088,0.001,0.049,  5.06, 4.91,0.000, 57,-21, 39,
,,0.002,0.079,8,0.036,0.002,0.049,  5.02, 4.87,0.000,-48,-63, -3,
,,0.003,0.118,6,0.064,0.003,0.067,  4.89, 4.75,0.000, 36,-51, 60,
