set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,12,0.059,0.127,15,0.056,0.000,0.000,  6.49, 6.19,0.000,-57,-33, 33,
,,0.009,0.067,32,0.008,0.000,0.000,  5.94, 5.70,0.000, 48,  6, 27,
,,,,,,0.002,0.004,  5.02, 4.87,0.000, 51, 12, 15,
,,,,,,0.009,0.015,  4.58, 4.46,0.000, 51,  9, 36,
,,0.023,0.115,23,0.022,0.000,0.000,  5.73, 5.51,0.000,-54,-51, 39,
,,0.202,0.278,6,0.209,0.000,0.002,  5.30, 5.13,0.000, 51,-30, 54,
,,0.009,0.067,32,0.008,0.000,0.002,  5.26, 5.09,0.000,-45, 33, 12,
,,,,,,0.003,0.005,  4.89, 4.75,0.000,-36, 30, 12,
,,0.036,0.127,19,0.034,0.001,0.004,  5.06, 4.91,0.000, 57,-21, 39,
,,,,,,0.151,0.195,  3.77, 3.71,0.000, 54,-24, 48,
,,0.046,0.127,17,0.043,0.002,0.004,  5.02, 4.87,0.000,-48,-63, -3,
,,0.098,0.191,11,0.096,0.003,0.005,  4.89, 4.75,0.000, 36,-51, 60,
,,0.202,0.278,6,0.209,0.004,0.006,  4.82, 4.69,0.000,-15,-78,-39,
,,0.202,0.278,6,0.209,0.047,0.070,  4.14, 4.05,0.000,-48,-42, 54,
,,0.202,0.278,6,0.209,0.082,0.116,  3.97, 3.89,0.000,-45,-63, 30,
,,0.059,0.127,15,0.056,0.101,0.135,  3.91, 3.83,0.000, 48,-48, 15,
,,,,,,0.242,0.312,  3.61, 3.55,0.000, 48,-51, 24,
