set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,15,0.000,0.000,239,0.000,0.000,0.000,  9.32,  Inf,0.000,-51, 18, 24,
,,,,,,0.000,0.000,  9.22,  Inf,0.000,-42,  3, 30,
,,,,,,0.000,0.001,  6.77, 6.43,0.000,-36, 15, 24,
,,0.000,0.000,44,0.000,0.000,0.000,  7.55, 7.09,0.000,-48, 15, -6,
,,0.000,0.000,33,0.000,0.000,0.000,  7.45, 7.01,0.000, 33, -6, 66,
,,0.000,0.000,32,0.000,0.000,0.000,  7.38, 6.94,0.000,-33, -6, 63,
,,,,,,0.000,0.005,  6.39, 6.10,0.000,-42, -6, 57,
,,,,,,0.006,0.246,  5.39, 5.21,0.000,-45,  0, 51,
,,0.000,0.000,55,0.000,0.000,0.001,  6.92, 6.56,0.000, 24,-66, 36,
,,0.000,0.000,78,0.000,0.000,0.001,  6.91, 6.54,0.000, 36,  6, 30,
,,,,,,0.000,0.001,  6.78, 6.44,0.000, 51, 18, 27,
,,0.000,0.000,49,0.000,0.000,0.004,  6.44, 6.14,0.000,-12,-78, 39,
,,,,,,0.000,0.010,  6.21, 5.94,0.000,-21,-75, 39,
,,,,,,0.000,0.013,  6.15, 5.89,0.000,-24,-69, 27,
,,0.000,0.004,11,0.002,0.000,0.008,  6.29, 6.01,0.000,  0, 12, 57,
,,0.000,0.000,58,0.000,0.000,0.022,  6.03, 5.78,0.000,  9, 63,-12,
,,,,,,0.000,0.022,  6.00, 5.76,0.000,  0, 57,-15,
,,0.000,0.004,12,0.002,0.000,0.024,  5.98, 5.73,0.000,-30,-51, 33,
,,,,,,0.019,0.526,  5.17, 5.01,0.000,-42,-45, 36,
,,0.000,0.001,15,0.001,0.001,0.043,  5.84, 5.61,0.000,-48, 48,  6,
,,0.000,0.001,17,0.000,0.001,0.064,  5.74, 5.53,0.000,  3,-27, 66,
,,,,,,0.033,0.727,  5.05, 4.90,0.000,  0,-18, 60,
,,0.000,0.004,11,0.002,0.002,0.098,  5.63, 5.42,0.000,  9,  9, 72,
,,0.001,0.029,6,0.017,0.003,0.128,  5.56, 5.36,0.000, 48, 30, 15,
,,0.001,0.029,6,0.017,0.008,0.262,  5.36, 5.18,0.000, -9,  3, 72,
