set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,51,0.027,0.008,50,0.001,0.000,0.000,  7.28, 6.86,0.000, 51, 42, 21,
,,0.001,0.000,100,0.000,0.000,0.000,  6.29, 6.01,0.000, 42,-66, 48,
,,,,,,0.441,0.089,  4.31, 4.22,0.000, 54,-51, 45,
,,0.000,0.000,426,0.000,0.000,0.001,  6.20, 5.93,0.000,-15,  3, -9,
,,,,,,0.002,0.003,  5.66, 5.45,0.000, 15,  9, -9,
,,,,,,0.004,0.005,  5.47, 5.28,0.000, -9, 12, -9,
,,0.000,0.000,285,0.000,0.000,0.001,  6.05, 5.80,0.000,-33,  3,-45,
,,,,,,0.000,0.001,  5.98, 5.73,0.000,-24, -9,-45,
,,,,,,0.341,0.074,  4.41, 4.30,0.000,-36,  9,-27,
,,0.027,0.008,50,0.001,0.003,0.005,  5.52, 5.33,0.000, 24, 63, 24,
,,0.000,0.000,338,0.000,0.005,0.005,  5.45, 5.26,0.000,-24,-69, 57,
,,,,,,0.007,0.006,  5.37, 5.19,0.000,-45,-63, 48,
,,,,,,0.007,0.006,  5.36, 5.18,0.000, -6,-54, 69,
,,0.001,0.000,102,0.000,0.008,0.006,  5.35, 5.17,0.000, -3,-63,  9,
,,,,,,0.121,0.035,  4.72, 4.60,0.000,-18,-87,  9,
,,0.000,0.000,173,0.000,0.010,0.007,  5.30, 5.12,0.000,-48,-39,  6,
,,,,,,0.018,0.009,  5.17, 5.01,0.000,-48,-18,  0,
,,,,,,0.045,0.018,  4.98, 4.84,0.000,-60,-36,  9,
,,0.019,0.006,54,0.001,0.015,0.009,  5.21, 5.04,0.000,-42, 15, 45,
,,0.199,0.047,28,0.012,0.018,0.009,  5.18, 5.02,0.000,  0,-36, 39,
,,0.001,0.000,93,0.000,0.029,0.013,  5.07, 4.92,0.000,-60,-54,-21,
,,,,,,0.129,0.035,  4.71, 4.58,0.000,-54,-48,-27,
,,,,,,0.659,0.143,  4.13, 4.05,0.000,-54,-33,-24,
,,0.002,0.001,84,0.000,0.051,0.019,  4.95, 4.81,0.000, 48,-78, -6,
,,,,,,0.159,0.041,  4.65, 4.53,0.000, 54,-69,-15,
,,,,,,1.000,0.609,  3.41, 3.36,0.000, 33,-78, -6,
,,0.002,0.001,81,0.000,0.055,0.019,  4.94, 4.79,0.000, -3,-27,-21,
,,,,,,0.088,0.028,  4.81, 4.68,0.000, -6,-24,-12,
,,,,,,0.235,0.055,  4.53, 4.42,0.000,  9,-24,-12,
,,0.078,0.022,38,0.004,0.057,0.019,  4.92, 4.78,0.000, 12, 42,  0,
,,0.001,0.001,88,0.000,0.088,0.028,  4.81, 4.68,0.000, 54,-18, -3,
,,,,,,0.230,0.055,  4.54, 4.42,0.000, 57,-12,  6,
,,,,,,0.315,0.069,  4.43, 4.33,0.000, 42,-18,  0,
,,0.181,0.047,29,0.011,0.130,0.035,  4.70, 4.58,0.000, -6,-39,  6,
,,0.000,0.000,209,0.000,0.188,0.046,  4.60, 4.48,0.000, 30, 15,-42,
,,,,,,0.266,0.059,  4.49, 4.38,0.000, 30,  0,-39,
,,,,,,0.398,0.079,  4.35, 4.25,0.000, 21, -9,-33,
,,0.318,0.077,23,0.020,0.260,0.059,  4.50, 4.39,0.000,-21, 24, 54,
,,0.349,0.081,22,0.023,0.285,0.062,  4.47, 4.36,0.000,-39, 42, 30,
,,0.961,0.283,7,0.171,0.354,0.074,  4.39, 4.29,0.000, 24,-36,-12,
,,0.732,0.151,13,0.070,0.376,0.079,  4.37, 4.27,0.000, 63, -9, -6,
,,0.635,0.131,15,0.053,0.384,0.079,  4.36, 4.26,0.000, 60,  6, 39,
,,0.587,0.123,16,0.047,0.389,0.079,  4.36, 4.26,0.000, 72,-42, -6,
,,,,,,1.000,0.682,  3.35, 3.30,0.000, 66,-36,-12,
,,0.382,0.081,21,0.026,0.451,0.090,  4.30, 4.21,0.000,-45,-81, -6,
,,0.867,0.203,10,0.107,0.522,0.106,  4.24, 4.15,0.000, 42,-12, 42,
,,0.587,0.123,16,0.047,0.564,0.116,  4.21, 4.12,0.000,-33,-81, 42,
,,0.382,0.081,21,0.026,0.581,0.119,  4.20, 4.11,0.000,  6,-18,-39,
,,0.199,0.047,28,0.012,0.637,0.137,  4.15, 4.06,0.000, 12, 33, 30,
,,,,,,1.000,0.682,  3.34, 3.29,0.000, 15, 27, 36,
,,,,,,1.000,0.741,  3.30, 3.25,0.001, 15, 39, 39,
,,0.732,0.151,13,0.070,0.762,0.181,  4.05, 3.96,0.000, 24,-78, 15,
,,0.199,0.047,28,0.012,0.771,0.181,  4.04, 3.96,0.000, 39,-75,-18,
,,,,,,0.975,0.336,  3.74, 3.68,0.000, 30,-69,-21,
,,0.904,0.230,9,0.124,0.772,0.181,  4.04, 3.96,0.000,-27,-33,-12,
,,0.382,0.081,21,0.026,0.795,0.191,  4.02, 3.94,0.000,-33, 57,  0,
,,,,,,0.889,0.234,  3.91, 3.84,0.000,-30, 60,  9,
,,0.683,0.144,14,0.061,0.807,0.195,  4.00, 3.92,0.000, 27, 33, 48,
,,,,,,0.991,0.395,  3.66, 3.60,0.000, 24, 24, 45,
,,0.498,0.111,18,0.036,0.815,0.197,  4.00, 3.92,0.000,-45,-78,-24,
,,,,,,1.000,0.590,  3.44, 3.38,0.000,-54,-69,-24,
,,0.961,0.283,7,0.171,0.852,0.215,  3.96, 3.88,0.000,-42,-24,-36,
,,0.936,0.251,8,0.145,0.876,0.228,  3.93, 3.85,0.000,-30,-42, -3,
,,0.990,0.364,5,0.244,0.892,0.234,  3.91, 3.83,0.000,-30, 33,  3,
,,0.587,0.123,16,0.047,0.919,0.255,  3.87, 3.80,0.000, 63,-30,-33,
,,,,,,0.974,0.336,  3.75, 3.68,0.000, 57,-27,-27,
,,0.979,0.322,6,0.204,0.925,0.256,  3.86, 3.79,0.000, 15, -6, 54,
,,0.635,0.131,15,0.053,0.962,0.309,  3.78, 3.71,0.000,-24, 57, 30,
,,,,,,1.000,0.724,  3.31, 3.26,0.001,-18, 51, 36,
,,0.732,0.151,13,0.070,0.969,0.324,  3.76, 3.70,0.000,-30,-69,-15,
,,0.936,0.251,8,0.145,0.989,0.387,  3.68, 3.61,0.000, -3, 30, 18,
,,0.587,0.123,16,0.047,0.992,0.395,  3.65, 3.59,0.000, -9, 51,  0,
,,0.779,0.169,12,0.080,0.993,0.396,  3.64, 3.58,0.000, 60,-39, 51,
,,0.990,0.364,5,0.244,0.996,0.427,  3.61, 3.55,0.000,-33,-66, 15,
,,0.979,0.322,6,0.204,0.996,0.427,  3.61, 3.55,0.000,-51,-21,-39,
,,0.825,0.184,11,0.092,0.998,0.452,  3.57, 3.52,0.000, 21,-78,-12,
,,,,,,1.000,0.542,  3.48, 3.43,0.000, 12,-81,-15,
,,0.867,0.203,10,0.107,1.000,0.542,  3.49, 3.43,0.000, 39, 15,-30,
,,0.825,0.184,11,0.092,1.000,0.542,  3.48, 3.43,0.000, 33,-39,  0,
,,0.936,0.251,8,0.145,1.000,0.590,  3.43, 3.38,0.000,-51,-33, 48,
,,,,,,1.000,0.677,  3.35, 3.30,0.000,-45,-42, 54,
,,0.990,0.364,5,0.244,1.000,0.660,  3.37, 3.32,0.000, 63,-36, 12,
