set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,7,0.000,0.000,788,0.000,0.000,0.000,  9.80,  Inf,0.000, -6, 36, 15,
,,,,,,0.000,0.000,  9.40,  Inf,0.000,  0, 54, 12,
,,,,,,0.000,0.000,  8.95,  Inf,0.000,  0, 45, 24,
,,0.000,0.000,90,0.000,0.000,0.000,  6.89, 6.53,0.000,  3,-27, 33,
,,,,,,0.014,0.020,  4.62, 4.50,0.000,-12,-45, 27,
,,,,,,0.064,0.072,  4.20, 4.11,0.000,  9,-42, 27,
,,0.026,0.060,24,0.015,0.000,0.000,  5.68, 5.47,0.000,-24, 42, 36,
,,0.089,0.148,14,0.054,0.017,0.022,  4.58, 4.46,0.000, 24, 42, 45,
,,0.135,0.165,11,0.083,0.108,0.110,  4.04, 3.96,0.000,  3, -6,  0,
,,,,,,0.229,0.211,  3.79, 3.73,0.000, -6, -6, -3,
,,0.102,0.148,13,0.062,0.256,0.228,  3.75, 3.69,0.000, -6,-63, 12,
,,0.179,0.194,9,0.113,0.268,0.229,  3.74, 3.67,0.000,  9,-51, 15,
