set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,7,0.000,0.000,502,0.000,0.000,0.000, 13.76,  Inf,0.000,  3,-75,30,
,,,,,,0.000,0.000,  9.77,  Inf,0.000, -3,-39,21,
,,,,,,0.000,0.000,  8.13, 7.57,0.000, -3,-30,24,
,,0.022,0.037,25,0.012,0.000,0.000,  5.96, 5.72,0.000, -3,-63,57,
,,0.176,0.256,9,0.108,0.000,0.001,  5.43, 5.24,0.000,-36,-57,36,
,,0.011,0.025,31,0.006,0.003,0.004,  4.99, 4.84,0.000,  3, 33,21,
,,,,,,0.110,0.111,  4.05, 3.96,0.000, -9, 33,15,
,,,,,,0.510,0.447,  3.47, 3.41,0.000, -6, 42, 6,
,,0.002,0.008,46,0.001,0.113,0.111,  4.04, 3.96,0.000, 39,-69,33,
,,,,,,0.182,0.166,  3.88, 3.81,0.000, 51,-72,33,
,,,,,,0.195,0.170,  3.86, 3.79,0.000, 39,-81,42,
,,0.279,0.314,6,0.183,0.219,0.184,  3.82, 3.75,0.000, 30, 33,48,
,,,,,,0.699,0.697,  3.28, 3.24,0.001, 24, 42,45,
,,0.204,0.256,8,0.128,0.267,0.212,  3.74, 3.68,0.000,-39,-63,48,
