set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,10,0.002,0.006,56,0.001,0.000,0.000,  6.66, 6.33,0.000,-18,-57, 21,
,,,,,,0.000,0.000,  5.93, 5.69,0.000, -3,-81, 33,
,,,,,,0.000,0.000,  5.93, 5.69,0.000,-12,-69, 30,
,,0.002,0.006,55,0.001,0.000,0.000,  6.08, 5.83,0.000, 45,-78, 42,
,,,,,,0.014,0.024,  4.58, 4.47,0.000, 45,-66, 30,
,,,,,,0.025,0.032,  4.44, 4.33,0.000, 36,-84, 39,
,,0.002,0.006,55,0.001,0.000,0.000,  5.97, 5.73,0.000, -3,-27, 24,
,,,,,,0.001,0.003,  5.25, 5.08,0.000,  3,-48, 18,
,,0.198,0.320,9,0.142,0.000,0.001,  5.54, 5.34,0.000,-33,-87, 39,
,,0.002,0.006,60,0.001,0.000,0.001,  5.50, 5.31,0.000,  3, 33, 21,
,,,,,,0.016,0.024,  4.56, 4.44,0.000, -3, 48, 24,
,,0.002,0.006,54,0.002,0.002,0.004,  5.11, 4.95,0.000, 15,-48, 18,
,,,,,,0.008,0.014,  4.74, 4.61,0.000, 21,-54, 24,
,,,,,,0.036,0.045,  4.33, 4.23,0.000,  9,-72, 30,
,,0.226,0.329,8,0.165,0.003,0.007,  4.95, 4.81,0.000,-24, 45, 33,
,,0.040,0.078,23,0.026,0.005,0.010,  4.83, 4.70,0.000,-42,-63, 48,
,,,,,,0.204,0.213,  3.80, 3.73,0.000,-33,-69, 54,
,,,,,,0.495,0.491,  3.43, 3.38,0.000,-36,-63, 39,
,,0.049,0.083,21,0.032,0.018,0.025,  4.53, 4.42,0.000, 30,-21,-21,
,,,,,,0.018,0.025,  4.52, 4.41,0.000, 33,-30,-15,
,,0.340,0.481,5,0.267,0.088,0.096,  4.07, 3.99,0.000,  9, 54,  3,
