set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,5,0.000,0.015,14,0.002,0.000,0.003,  6.66, 6.33,0.000,-18,-57,21,
,,0.000,0.026,9,0.009,0.000,0.020,  6.08, 5.83,0.000, 45,-78,42,
,,0.000,0.028,8,0.012,0.000,0.020,  5.97, 5.73,0.000, -3,-27,24,
,,0.000,0.026,10,0.006,0.000,0.020,  5.93, 5.69,0.000, -3,-81,33,
,,,,,,0.000,0.020,  5.93, 5.69,0.000,-12,-69,30,
,,0.000,0.032,7,0.018,0.000,0.094,  5.50, 5.31,0.000,  3, 33,21,
