set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,8,0.000,0.000,237,0.000,0.000,0.000,  9.21,  Inf,0.000,  0,-51, 36,
,,,,,,0.000,0.000,  8.79,  Inf,0.000,  0,-60, 42,
,,,,,,0.000,0.000,  7.23, 6.82,0.000,  0,-51, 51,
,,0.000,0.009,20,0.002,0.000,0.000,  7.43, 6.99,0.000,  9,-54,  3,
,,,,,,0.000,0.000,  6.49, 6.19,0.000, 18,-57,  9,
,,,,,,0.000,0.002,  5.99, 5.75,0.000,  9,-63, 15,
,,0.001,0.091,9,0.027,0.000,0.000,  6.51, 6.20,0.000,-27, 18, 54,
,,0.000,0.000,42,0.000,0.000,0.001,  6.27, 5.99,0.000,  0, 57, -6,
,,0.000,0.003,28,0.000,0.000,0.003,  5.84, 5.61,0.000,-15, 63, 21,
,,0.003,0.134,6,0.063,0.000,0.007,  5.64, 5.43,0.000, -9,-63,  9,
,,0.002,0.133,7,0.047,0.001,0.035,  5.25, 5.08,0.000,  9, 39, -9,
,,0.003,0.134,6,0.063,0.005,0.149,  4.87, 4.73,0.000,-30,-81, 30,
