set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,13,0.000,0.000,358,0.000,0.000,0.000,  9.21,  Inf,0.000,  0,-51, 36,
,,,,,,0.000,0.000,  8.79,  Inf,0.000,  0,-60, 42,
,,,,,,0.000,0.000,  7.23, 6.82,0.000,  0,-51, 51,
,,0.015,0.044,33,0.010,0.000,0.000,  7.43, 6.99,0.000,  9,-54,  3,
,,,,,,0.000,0.000,  6.49, 6.19,0.000, 18,-57,  9,
,,,,,,0.000,0.000,  5.99, 5.75,0.000,  9,-63, 15,
,,0.018,0.044,31,0.012,0.000,0.000,  6.51, 6.20,0.000,-27, 18, 54,
,,0.000,0.001,102,0.000,0.000,0.000,  6.27, 5.99,0.000,  0, 57, -6,
,,,,,,0.023,0.026,  4.46, 4.35,0.000,-12, 48,  0,
,,,,,,0.627,0.634,  3.30, 3.26,0.001, -9, 39,-12,
,,0.004,0.016,48,0.003,0.000,0.000,  5.84, 5.61,0.000,-15, 63, 21,
,,0.296,0.390,6,0.226,0.000,0.000,  5.64, 5.43,0.000, -9,-63,  9,
,,0.040,0.082,23,0.026,0.001,0.002,  5.25, 5.08,0.000,  9, 39, -9,
,,0.085,0.155,16,0.057,0.005,0.007,  4.87, 4.73,0.000,-30,-81, 30,
,,,,,,0.132,0.105,  3.94, 3.87,0.000,-27,-78, 42,
,,0.258,0.365,7,0.192,0.018,0.023,  4.52, 4.41,0.000, 18, 39, 51,
,,0.136,0.223,12,0.094,0.023,0.026,  4.45, 4.35,0.000, 27, 15, 57,
,,0.340,0.391,5,0.267,0.039,0.036,  4.31, 4.21,0.000, -6, 36,  0,
,,0.198,0.300,9,0.142,0.045,0.040,  4.27, 4.17,0.000,-12, 45, 39,
,,0.340,0.391,5,0.267,0.106,0.093,  4.01, 3.93,0.000,-27,-42,-15,
