set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,13,0.000,0.000,194,0.000,0.000,0.000,  9.91,  Inf,0.000,-39,-63, 48,
,,,,,,0.000,0.000,  8.13, 7.57,0.000,-48,-69, 21,
,,,,,,0.000,0.000,  7.80, 7.29,0.000,-45,-63, 30,
,,0.000,0.000,27,0.000,0.000,0.000,  8.04, 7.49,0.000, -3, 42, 24,
,,0.000,0.000,55,0.000,0.000,0.000,  8.02, 7.47,0.000,-36, 18, 48,
,,0.000,0.000,35,0.000,0.000,0.000,  7.78, 7.28,0.000, 42,-66, 45,
,,0.000,0.000,17,0.000,0.000,0.001,  7.12, 6.73,0.000,-57,-24,-21,
,,0.000,0.000,17,0.000,0.000,0.001,  7.01, 6.63,0.000,-33,-75, 36,
,,0.000,0.010,5,0.008,0.000,0.002,  6.93, 6.56,0.000, -6,-36,  3,
,,0.000,0.000,12,0.000,0.000,0.008,  6.60, 6.28,0.000,-60,-39,-15,
,,0.000,0.000,12,0.000,0.000,0.008,  6.59, 6.27,0.000, -9, 36, 54,
,,0.000,0.000,15,0.000,0.000,0.012,  6.50, 6.19,0.000, -6, 60, 18,
,,0.000,0.000,15,0.000,0.000,0.035,  6.27, 5.99,0.000,-33, 45, 18,
,,0.000,0.000,15,0.000,0.000,0.043,  6.20, 5.93,0.000,-21, 24, 54,
,,0.000,0.010,5,0.008,0.000,0.063,  6.11, 5.85,0.000, 60,  0,  9,
