set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,45,0.000,0.000,139,0.000,0.000,0.000,  6.99, 6.62,0.000, 42,-69,-30,
,,,,,,0.189,0.033,  4.65, 4.53,0.000, 39,-72,-42,
,,,,,,0.611,0.102,  4.23, 4.14,0.000, 51,-57,-39,
,,0.000,0.000,377,0.000,0.000,0.000,  6.84, 6.48,0.000, 45, 30, 15,
,,,,,,0.000,0.000,  6.23, 5.96,0.000, 45, 18, 27,
,,,,,,0.003,0.002,  5.57, 5.37,0.000, 42, 36, 42,
,,0.000,0.000,193,0.000,0.000,0.000,  6.60, 6.28,0.000,  3, 24, 48,
,,,,,,0.009,0.005,  5.34, 5.16,0.000,  6, 12, 66,
,,,,,,0.498,0.082,  4.32, 4.23,0.000, -6,  3, 63,
,,0.000,0.000,602,0.000,0.000,0.000,  6.46, 6.16,0.000, -9,-60, 15,
,,,,,,0.000,0.000,  6.03, 5.78,0.000,  9,-57,  9,
,,,,,,0.000,0.001,  5.95, 5.71,0.000,-21,-66, 18,
,,0.000,0.000,232,0.000,0.000,0.000,  6.46, 6.16,0.000,-42,  0, 27,
,,,,,,0.053,0.014,  4.95, 4.81,0.000,-57,-24, 51,
,,,,,,0.120,0.025,  4.78, 4.65,0.000,-54, -3, 45,
,,0.003,0.001,67,0.000,0.000,0.000,  6.43, 6.13,0.000,  6, 60, 36,
,,,,,,0.773,0.137,  4.10, 4.01,0.000, -6, 57, 42,
,,0.000,0.000,134,0.000,0.000,0.000,  6.30, 6.02,0.000,-51, 36, 12,
,,,,,,0.006,0.004,  5.43, 5.24,0.000,-36, 36, 48,
,,,,,,0.094,0.021,  4.83, 4.70,0.000,-48, 27, 42,
,,0.000,0.000,133,0.000,0.001,0.001,  5.86, 5.63,0.000, 12,  3,  6,
,,,,,,0.012,0.005,  5.26, 5.09,0.000,  9, 18,  6,
,,,,,,0.081,0.019,  4.86, 4.73,0.000,  6, -9,  9,
,,0.013,0.004,51,0.001,0.002,0.002,  5.66, 5.45,0.000, 33, 21,-24,
,,,,,,0.446,0.072,  4.37, 4.27,0.000, 45,  6,-12,
,,,,,,0.539,0.088,  4.29, 4.19,0.000, 42, 12,-21,
,,0.053,0.013,37,0.002,0.002,0.002,  5.63, 5.42,0.000,-36,-36,-15,
,,0.000,0.000,144,0.000,0.004,0.003,  5.52, 5.33,0.000, 33, -9, 66,
,,,,,,0.048,0.013,  4.98, 4.83,0.000, 21,  6, 54,
,,,,,,0.269,0.045,  4.54, 4.43,0.000, 30, -6, 51,
,,0.000,0.000,93,0.000,0.005,0.004,  5.44, 5.26,0.000,-60,-45, 15,
,,,,,,0.154,0.028,  4.71, 4.59,0.000,-39,-42, 18,
,,0.000,0.000,110,0.000,0.010,0.005,  5.30, 5.13,0.000,-30,-75,-30,
,,,,,,0.015,0.006,  5.22, 5.06,0.000,-39,-63,-30,
,,,,,,0.070,0.018,  4.89, 4.75,0.000,-15,-81,-30,
,,0.082,0.019,33,0.004,0.011,0.005,  5.28, 5.11,0.000,-39,-27,  6,
,,0.566,0.140,15,0.037,0.018,0.006,  5.18, 5.02,0.000,-21,-69, 66,
,,0.053,0.013,37,0.002,0.096,0.021,  4.83, 4.69,0.000, 39,-21, 54,
,,0.273,0.061,22,0.014,0.153,0.028,  4.71, 4.59,0.000, 30,-42, 39,
,,0.008,0.003,56,0.000,0.190,0.033,  4.65, 4.53,0.000,-30,-24, 45,
,,,,,,0.809,0.143,  4.06, 3.98,0.000,-30,-15, 51,
,,,,,,0.928,0.199,  3.92, 3.84,0.000,-30,-12, 60,
,,0.977,0.354,6,0.167,0.287,0.048,  4.52, 4.41,0.000,  9,-15,-33,
,,0.620,0.155,14,0.043,0.336,0.057,  4.47, 4.36,0.000,-33,-87,  9,
,,0.378,0.087,19,0.021,0.345,0.058,  4.46, 4.35,0.000,-21,-30, 15,
,,0.924,0.301,8,0.114,0.388,0.064,  4.42, 4.32,0.000, -9,-24,-60,
,,0.924,0.301,8,0.114,0.424,0.070,  4.39, 4.28,0.000,-33,-36,-45,
,,0.009,0.003,55,0.000,0.446,0.072,  4.37, 4.27,0.000,  3,-66, 51,
,,,,,,0.719,0.122,  4.14, 4.06,0.000,  3,-51, 45,
,,0.977,0.354,6,0.167,0.584,0.097,  4.25, 4.16,0.000, 42,-51, -9,
,,0.977,0.354,6,0.167,0.666,0.110,  4.19, 4.10,0.000,-36,-33, 69,
,,0.273,0.061,22,0.014,0.668,0.110,  4.19, 4.10,0.000,-12,-12,  9,
,,,,,,0.851,0.155,  4.02, 3.94,0.000, -9, -3,  6,
,,0.465,0.109,17,0.028,0.696,0.118,  4.16, 4.08,0.000,-30, 24,  6,
,,0.141,0.032,28,0.007,0.708,0.120,  4.15, 4.07,0.000,  0, 39,  9,
,,,,,,0.802,0.143,  4.07, 3.99,0.000, -6, 39,  3,
,,,,,,1.000,0.560,  3.45, 3.39,0.000,-12, 39,  9,
,,0.924,0.301,8,0.114,0.732,0.125,  4.13, 4.05,0.000, 63,-45, 42,
,,0.924,0.301,8,0.114,0.808,0.143,  4.06, 3.98,0.000,  3,  0, 30,
,,0.990,0.396,5,0.205,0.876,0.167,  3.99, 3.91,0.000,-30, 66, 15,
,,0.955,0.332,7,0.137,0.900,0.182,  3.96, 3.88,0.000, 42,-42, 63,
,,0.787,0.220,11,0.068,0.907,0.186,  3.95, 3.87,0.000, 60,-51, 27,
,,0.990,0.396,5,0.205,0.938,0.208,  3.90, 3.83,0.000, 18,-36,-60,
,,0.924,0.301,8,0.114,0.965,0.241,  3.84, 3.77,0.000,-54,-54,-45,
,,0.955,0.332,7,0.137,0.980,0.268,  3.79, 3.72,0.000,-12, 51, -9,
,,0.787,0.220,11,0.068,0.980,0.268,  3.79, 3.72,0.000, 24, 27,  6,
,,0.990,0.396,5,0.205,0.981,0.270,  3.78, 3.72,0.000, 33, 39, -9,
,,0.955,0.332,7,0.137,0.984,0.277,  3.77, 3.70,0.000,-42,-42, 66,
,,,,,,1.000,0.507,  3.49, 3.44,0.000,-42,-51, 63,
,,0.977,0.354,6,0.167,0.989,0.297,  3.74, 3.68,0.000,-27,-54, 45,
