set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,50,0.000,0.000,152,0.000,0.000,0.000,  6.46, 6.16,0.000,  3,-39, 24,
,,,,,,0.140,0.054,  4.68, 4.56,0.000,  0,-24, 27,
,,0.000,0.000,207,0.000,0.000,0.001,  6.18, 5.91,0.000,-12, 45, -6,
,,,,,,0.000,0.001,  5.96, 5.71,0.000, -3, 42,  3,
,,,,,,0.057,0.031,  4.92, 4.78,0.000, -9, 33, 21,
,,0.181,0.056,29,0.011,0.007,0.012,  5.37, 5.19,0.000, 72,-33,-12,
,,0.002,0.002,85,0.000,0.008,0.012,  5.36, 5.18,0.000,-18, 63, 30,
,,,,,,0.016,0.012,  5.20, 5.03,0.000,-21, 66, 21,
,,,,,,0.100,0.044,  4.78, 4.65,0.000, -6, 63, 33,
,,0.045,0.024,44,0.002,0.011,0.012,  5.28, 5.11,0.000, 54,-66, 36,
,,0.018,0.011,55,0.001,0.012,0.012,  5.26, 5.09,0.000,-24,-27,  9,
,,,,,,0.987,0.336,  3.69, 3.62,0.000,-27,-39,  6,
,,0.318,0.075,23,0.020,0.013,0.012,  5.25, 5.08,0.000,-69,-39, -3,
,,,,,,0.599,0.119,  4.18, 4.09,0.000,-69,-24, -6,
,,0.779,0.186,12,0.080,0.014,0.012,  5.22, 5.06,0.000,-54, 24, -9,
,,0.349,0.075,22,0.023,0.078,0.039,  4.84, 4.71,0.000, 24,-69, 33,
,,0.732,0.172,13,0.070,0.089,0.042,  4.81, 4.67,0.000, 66,-51, 27,
,,0.001,0.001,97,0.000,0.140,0.054,  4.68, 4.56,0.000, 15,-57,  6,
,,,,,,0.156,0.056,  4.65, 4.53,0.000, 12,-48, -3,
,,,,,,0.327,0.074,  4.42, 4.32,0.000, 24,-39, -9,
,,0.071,0.031,39,0.004,0.144,0.054,  4.67, 4.55,0.000, 51,-36,-18,
,,0.349,0.075,22,0.023,0.166,0.057,  4.63, 4.51,0.000,  6,-63, 66,
,,,,,,0.993,0.373,  3.64, 3.58,0.000, 15,-66, 66,
,,0.199,0.058,28,0.012,0.180,0.058,  4.61, 4.49,0.000,-36,-60,-48,
,,0.457,0.095,19,0.032,0.189,0.058,  4.60, 4.48,0.000,  0, -9, 48,
,,0.013,0.009,59,0.001,0.191,0.058,  4.59, 4.48,0.000, 48,-27, 33,
,,,,,,0.627,0.121,  4.16, 4.07,0.000, 57,-24, 36,
,,,,,,0.962,0.276,  3.78, 3.71,0.000, 48,-30, 51,
,,0.009,0.008,63,0.000,0.232,0.067,  4.53, 4.42,0.000,-48,-42, 33,
,,,,,,0.829,0.178,  3.98, 3.90,0.000,-42,-48, 21,
,,0.050,0.024,43,0.003,0.254,0.067,  4.51, 4.39,0.000, -9,-33,-39,
,,,,,,0.624,0.121,  4.16, 4.07,0.000,  0,-33,-33,
,,0.290,0.075,24,0.018,0.258,0.067,  4.50, 4.39,0.000,  9, 15, -6,
,,0.113,0.042,34,0.006,0.266,0.067,  4.49, 4.38,0.000,-18,-75,  3,
,,0.094,0.037,36,0.005,0.296,0.073,  4.46, 4.35,0.000, 21, 66, 24,
,,,,,,0.586,0.119,  4.19, 4.10,0.000, 15, 66, 30,
