set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,39,0.000,0.000,113,0.000,0.000,0.001,  6.09, 5.83,0.000,-15,-51, -3,
,,0.000,0.000,149,0.000,0.000,0.001,  6.08, 5.82,0.000, 24,-36, 21,
,,,,,,0.008,0.009,  5.35, 5.17,0.000, 18, -6, 24,
,,,,,,0.011,0.010,  5.30, 5.12,0.000, 18,-24, 21,
,,0.002,0.001,70,0.000,0.001,0.004,  5.71, 5.49,0.000,-36, 15, 39,
,,0.000,0.000,158,0.000,0.003,0.006,  5.53, 5.34,0.000,-27,-42, 15,
,,,,,,0.004,0.006,  5.52, 5.32,0.000,-21,-30, 24,
,,,,,,0.999,0.549,  3.57, 3.51,0.000,-30,-24, 15,
,,0.010,0.004,54,0.000,0.005,0.007,  5.45, 5.26,0.000,  9,-54, 45,
,,,,,,0.727,0.162,  4.14, 4.05,0.000,  9,-54, 54,
,,,,,,0.924,0.280,  3.92, 3.85,0.000, 15,-45, 36,
,,0.000,0.000,223,0.000,0.012,0.010,  5.27, 5.10,0.000, -3,-78,  6,
,,,,,,0.014,0.010,  5.24, 5.08,0.000,  9,-81, 15,
,,,,,,0.135,0.049,  4.75, 4.62,0.000,  6,-69,  9,
,,0.002,0.001,71,0.000,0.025,0.015,  5.12, 4.96,0.000,  3, 45,-21,
,,,,,,0.204,0.067,  4.63, 4.51,0.000,  9, 45,-12,
,,,,,,0.255,0.067,  4.56, 4.45,0.000,  0, 48,-12,
,,0.090,0.025,32,0.004,0.027,0.015,  5.10, 4.95,0.000,-36,  9,-39,
,,0.000,0.000,98,0.000,0.046,0.022,  4.99, 4.84,0.000, 54,-39, 51,
,,,,,,0.137,0.049,  4.75, 4.62,0.000, 42,-45, 48,
,,,,,,0.508,0.114,  4.32, 4.22,0.000, 45,-48, 57,
,,0.053,0.016,37,0.002,0.161,0.055,  4.70, 4.58,0.000, 33, -3,-42,
,,0.565,0.112,15,0.037,0.227,0.067,  4.60, 4.48,0.000, 51, -9,-48,
,,,,,,0.541,0.121,  4.29, 4.19,0.000, 42, -6,-48,
,,0.196,0.047,25,0.010,0.228,0.067,  4.60, 4.48,0.000, 21,-54, 27,
,,,,,,0.825,0.207,  4.05, 3.97,0.000, 18,-60, 39,
,,0.175,0.044,26,0.008,0.248,0.067,  4.57, 4.46,0.000,-60,-45, 42,
,,0.126,0.033,29,0.006,0.250,0.067,  4.57, 4.45,0.000, 36,-78, 12,
,,0.013,0.005,51,0.001,0.350,0.083,  4.46, 4.35,0.000, 21,-15,-27,
,,,,,,0.881,0.242,  3.99, 3.91,0.000, 30,-18,-18,
,,,,,,0.949,0.310,  3.88, 3.81,0.000, 21, -3,-18,
,,0.019,0.006,47,0.001,0.395,0.090,  4.41, 4.31,0.000, 21,-54, -3,
,,,,,,0.557,0.121,  4.28, 4.18,0.000, 27,-45,-15,
,,,,,,0.876,0.242,  3.99, 3.91,0.000, 15,-45, -9,
,,0.955,0.286,7,0.137,0.413,0.092,  4.40, 4.29,0.000, 21, -6, -9,
,,0.244,0.056,23,0.012,0.451,0.100,  4.36, 4.26,0.000, 51,-39,  9,
,,0.565,0.112,15,0.037,0.562,0.121,  4.27, 4.18,0.000, 39,-75,-54,
,,0.339,0.078,20,0.018,0.589,0.124,  4.25, 4.16,0.000,  0,  0, 69,
,,0.513,0.110,16,0.032,0.590,0.124,  4.25, 4.16,0.000,-12,-45, 39,
,,,,,,1.000,0.827,  3.22, 3.18,0.001,-18,-48, 45,
,,0.884,0.232,9,0.095,0.637,0.133,  4.21, 4.12,0.000, 42, 15, 33,
,,0.924,0.252,8,0.114,0.638,0.133,  4.21, 4.12,0.000,-18, 27,  9,
,,0.924,0.252,8,0.114,0.699,0.154,  4.16, 4.07,0.000,  3,-36, 75,
,,0.990,0.382,5,0.204,0.820,0.207,  4.05, 3.97,0.000, 69,-15,  9,
,,0.513,0.110,16,0.032,0.919,0.278,  3.93, 3.86,0.000,-54,  3, 12,
,,,,,,1.000,0.590,  3.44, 3.38,0.000,-45,  0, 12,
,,0.464,0.106,17,0.028,0.971,0.350,  3.82, 3.75,0.000, 42,-15, 18,
,,,,,,0.972,0.350,  3.82, 3.75,0.000, 36,-21, 18,
,,,,,,0.995,0.465,  3.69, 3.62,0.000, 36,-30, 24,
,,0.990,0.382,5,0.204,0.977,0.363,  3.80, 3.73,0.000, 39,-84,-42,
,,0.924,0.252,8,0.114,0.992,0.448,  3.72, 3.65,0.000, 18,-87,-42,
,,0.565,0.112,15,0.037,0.994,0.454,  3.70, 3.64,0.000,-39, 36, -3,
,,0.675,0.145,13,0.050,0.994,0.454,  3.70, 3.64,0.000, 33, 54,  6,
,,0.977,0.337,6,0.166,0.997,0.504,  3.65, 3.59,0.000,-45,-63, 30,
,,0.838,0.217,10,0.080,0.998,0.504,  3.64, 3.58,0.000, 45, 12,-45,
,,0.419,0.097,18,0.024,0.999,0.548,  3.59, 3.54,0.000,-24, -9,-36,
,,,,,,1.000,0.567,  3.51, 3.45,0.000,-18, -3,-27,
,,0.955,0.286,7,0.137,0.999,0.548,  3.59, 3.53,0.000,-24,-15,-21,
,,0.884,0.232,9,0.095,1.000,0.567,  3.54, 3.49,0.000, 27,-66,-54,
,,,,,,1.000,0.827,  3.22, 3.18,0.001, 18,-72,-57,
,,0.990,0.382,5,0.204,1.000,0.567,  3.54, 3.48,0.000, 54,-15, -9,
,,0.884,0.232,9,0.095,1.000,0.567,  3.51, 3.46,0.000,  0,-78,-45,
,,0.838,0.217,10,0.080,1.000,0.567,  3.47, 3.41,0.000,-42,-42, 18,
,,,,,,1.000,0.567,  3.47, 3.41,0.000,-42,-33, 21,
