set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.491,5,0.339,0.270,20,0.018,0.409,0.419,  4.40, 4.30,0.000,  3, 39,-30,
,,,,,,0.999,0.691,  3.57, 3.51,0.000,  6, 54,-30,
,,0.513,0.270,16,0.032,0.669,0.440,  4.19, 4.10,0.000,-45,-72,-33,
,,0.924,0.484,8,0.114,0.845,0.494,  4.03, 3.95,0.000,-48,-42, -9,
,,0.990,0.581,5,0.204,0.990,0.691,  3.74, 3.67,0.000,-21,-54, 21,
,,0.924,0.484,8,0.114,1.000,0.691,  3.55, 3.50,0.000, 33,-21, -3,
