"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",-0.0187384061800201,0.0011885998174554,2431,-15.7651094210464,2.1790060212502e-53
"stimulusPain",0.00406176127671326,0.000632715850960068,2431,6.41956617737653,1.63783169982234e-10
"conditionSleepDeprived",-0.00294444318623732,0.0014020130981912,2431,-2.10015383596349,0.0358181048118146
"stimulusPain:conditionSleepDeprived",0.000842619770586352,0.00126558503997727,2431,0.66579466726431,0.505605521844591
